Name,Pronunciation,Territory,StrategicFit(12),Distinctiveness(12),TrademarkDef(12),Memorability(10),PronSpell(10),TrustPremium(10),DomainFeas(10),Expansion(8),Multilingual(8),SearchApp(5),VisualVerbal(3),Total(100),DomainStatus,TrademarkRisk,SearchCollision,LinguisticRisk,Status,EliminationReason,Notes
Axia,AK-see-ah,Greek/worth,9,7,3,8,8,8,3,7,7,2,3,55,.com registered (2026-07-23),High-apparent (multiple Axia cos),Axia finance/telecom noise,None,ELIMINATED-R4,Multiple live same-name companies,Concept-perfect; legally crowded
Estima,es-TEE-mah,Latin/appraise,9,7,4,7,7,8,3,7,6,2,3,53,.com registered (2026-07-23),Moderate-high (Toyota model),Vehicle noise,None,ELIMINATED-R4,Toyota Estima dilution,Absorbed into Aestima candidacy
Trove,TROHV,exchange/treasure,9,5,4,8,9,7,2,6,6,2,3,51,.com registered (2026-07-23),Moderate-high (prior Troves),High,None,ELIMINATED-R2,Multiple prior Trove ventures,Beloved word; taken mindshare
Provena,pro-VEH-nah,provenance,9,7,3,7,8,7,3,7,6,2,2,51,.com registered (2026-07-23),High-apparent (healthcare legacy),Healthcare noise,None,ELIMINATED-R4,Provena Health legacy name,
Provenna,pro-VEN-ah,provenance,8,7,5,6,6,7,4,7,6,2,2,50,.com registered (2026-07-23),Unable to verify,Low,Double-n teaching,ELIMINATED-R5,Weaker than sibling candidates,
Valora,vah-LOR-ah,value,9,6,3,8,9,7,3,7,7,2,3,54,not checked,High-apparent (Swiss Valora group),Retail conglomerate,None,ELIMINATED-R4,Known same-name commerce group,
Worthly,WURTH-lee,value,8,5,4,7,8,5,3,6,6,3,2,49,not checked,Unable to verify,Existing content site pattern,None,ELIMINATED-R2,-ly crowd + prior use pattern,
Valure,vah-LYUR,value,7,6,5,6,6,6,4,6,6,2,2,48,not checked,Unable to verify,Velour confusion,Velour homophone,ELIMINATED-R5,Confusable,
Aprix,AY-priks,value/price,6,6,5,5,6,5,4,5,5,2,2,45,not checked,Unable to verify,-ix dated pattern,None,ELIMINATED-R1,Cold; dated suffix,
Prizia,PREE-zee-ah,value/prize,6,6,5,6,7,4,4,5,5,2,2,44,not checked,Unable to verify,Prize/gambling adjacency,Gambling tone,ELIMINATED-R1,Register risk,
Talant,TAL-ant,value/talent-weight,6,5,4,5,4,6,4,6,5,2,2,43,not checked,Unable to verify,Talent misspell read,Reads as typo,ELIMINATED-R1,Spell-from-hearing fails,
Pretia,PREH-tee-ah,Latin/price,7,6,4,6,6,7,4,6,6,2,2,59,not checked,Moderate (Pretium mining adjacency),Pretium noise,None,ELIMINATED-R2,Adjacent mining brand,Score pre-penalty; eliminated
Werth,VAIRT,value,6,6,5,5,4,6,4,5,4,2,2,49,not checked,Unable to verify,German surname space,DE/EN split pronunciation,ELIMINATED-R5,Pronunciation forks,
Veluro,veh-LOO-roh,invented,7,7,6,6,7,6,3,6,6,2,2,50,.com registered (2026-07-23),Unable to verify,Velour adjacency,Velour tone,ELIMINATED-R5,Weaker Veluma sibling,
Velumia,veh-LOO-mee-ah,invented,7,7,6,6,6,6,3,6,6,2,2,49,.com registered (2026-07-23),Unable to verify,Low,Longer than needed,ELIMINATED-R5,Veluma superior,
Valyt-alt Valut,vah-LOOT,invented,6,6,5,5,5,6,3,5,4,2,2,44,not checked,Unable to verify,Valuta currency word,Valuta confusion,ELIMINATED-R1,Currency-word collision,
Kavara,kah-VAH-rah,invented,5,7,6,6,8,5,3,5,6,2,2,45,.com registered (2026-07-23),Unable to verify,Low,None,ELIMINATED-R1,No inherent meaning; nothing earned,
Valnor,VAL-nor,invented,6,6,6,6,7,5,4,6,5,2,2,49,.com registered (2026-07-23),Unable to verify,Fantasy-name tone,None,ELIMINATED-R5,Game-brand flavor,
Veritrove,VAIR-ih-trohv,compound/true+treasure,8,7,6,6,6,7,3,6,5,2,2,52,.com registered (2026-07-23),Unable to verify,Trove noise,None,ELIMINATED-R3,Compound length + trove noise,
Truetrove,TROO-trohv,compound,7,6,5,6,6,6,3,6,5,2,2,48,.com registered (2026-07-23),Unable to verify,Trove noise,None,ELIMINATED-R3,,
Provenly,PROH-ven-lee,provenance,8,6,5,6,6,6,3,6,5,3,2,50,.com registered (2026-07-23),Unable to verify,Provably confusion,Provably homophone-ish,ELIMINATED-R3,,
Worthia,WUR-thee-ah,value,7,6,5,6,6,5,3,6,5,2,2,47,.com registered (2026-07-23),Unable to verify,Low,None,ELIMINATED-R3,,
Axiora,ak-see-OR-ah,Greek/value,7,7,5,6,6,6,3,6,6,2,2,50,.com registered (2026-07-23),Unable to verify,Axia-family noise,None,ELIMINATED-R3,,
Trovia,TROH-vee-ah,exchange,7,6,5,6,7,5,3,6,6,2,2,49,.com registered (2026-07-23),Unable to verify,Trove noise,None,ELIMINATED-R3,,
Vitrina,vih-TREE-nah,objects,7,5,4,6,6,6,3,6,7,2,2,48,.com registered (2026-07-23),Unable to verify,Generic ES/RU word,Generic in ES/RU/FA,ELIMINATED-R3,,
Valorium,vah-LOR-ee-um,value,6,6,5,5,5,6,3,6,5,2,2,45,.com registered (2026-07-23),Unable to verify,-ium fantasy pattern,None,ELIMINATED-R1,Elemental-suffix cliche,
Attest,ah-TEST,trust,7,4,3,6,8,6,3,5,5,2,2,44,not checked,Elevated (generic verb),Attestation generic,None,ELIMINATED-R1,Generic dictionary verb,
Certia,SER-tee-ah,trust,7,5,5,5,6,6,4,5,5,2,2,45,not checked,Unable to verify,Cert- crowded,None,ELIMINATED-R2,Crowded prefix,
Bonafid,BOH-nah-feed,trust,6,5,4,5,4,5,4,5,4,2,2,42,not checked,Unable to verify,Bona fide idiom,Truncation awkward,ELIMINATED-R1,,
Genuina,jeh-noo-EE-nah,trust,6,4,4,5,6,5,4,5,6,2,2,43,not checked,Unable to verify,Romance generic,Generic adjective,ELIMINATED-R1,,
Veridia,veh-RID-ee-ah,trust,6,5,4,5,6,5,4,5,5,2,2,44,not checked,Unable to verify,Pharma tone,None,ELIMINATED-R1,,
Trueform,TROO-form,trust,6,4,3,5,7,5,3,5,5,2,2,42,not checked,Elevated (generic compound),Fitness/mfg uses,None,ELIMINATED-R1,,
Verado,veh-RAH-doh,trust,6,5,3,6,7,5,3,5,6,2,2,44,not checked,Elevated (Mercury Verado),Marine engines,None,ELIMINATED-R2,,
Assay,ASS-ay,trust/metallurgy,8,4,3,6,6,6,3,5,4,2,2,44,not checked,Elevated (dictionary term of art),Industry generic,ASS- prefix risk,ELIMINATED-R1,Unprotectable + prefix,
Lineage,LIN-ee-ij,provenance,7,3,3,6,7,6,2,6,5,2,2,42,not checked,Elevated (gaming/major uses),High,None,ELIMINATED-R2,,
Lineal,LIN-ee-al,provenance,6,4,4,5,6,5,3,5,5,2,2,42,not checked,Unable to verify,Low,Adjective-weak,ELIMINATED-R1,,
Origyn,OR-ih-jin,provenance,8,6,1,6,6,6,2,6,5,2,2,42,not checked,High (same-space authentication foundation),Direct conflict,None,ELIMINATED-R2,Direct-category conflict,
Provia,PRO-vee-ah,provenance,7,5,3,6,7,6,3,6,6,2,2,47,not checked,Moderate (Fujifilm film stock),Film noise,None,ELIMINATED-R2,,
Heira,HAIR-ah,estate,6,6,5,5,5,5,4,5,5,2,2,44,not checked,Unable to verify,Name-like,Hair mishearing,ELIMINATED-R5,,
Storia,STOR-ee-ah,history,7,4,3,6,8,6,2,6,7,2,2,46,not checked,Elevated (multiple Storia ventures),High,Generic IT word,ELIMINATED-R2,,
Chronica,KRON-ih-kah,history,6,5,4,5,6,5,3,5,5,2,2,44,not checked,Unable to verify,Chronicle apps,Clinical tone,ELIMINATED-R1,,
Relica,REH-lih-kah,history,6,6,5,5,6,4,3,5,5,2,2,42,not checked,Unable to verify,Replica confusion,Replica homophone,ELIMINATED-R5,Fatal replica confusion,
Lumina,LOO-mih-nah,insight,6,3,2,6,8,6,2,6,7,1,2,41,not checked,High (extremely crowded),Very high,None,ELIMINATED-R2,,
Clarus,KLAR-us,insight,6,4,3,5,7,6,3,5,6,2,2,44,not checked,Elevated (crowded Latin),High,None,ELIMINATED-R2,,
Percepta,per-SEP-tah,insight,6,5,4,4,5,5,3,5,5,2,2,42,not checked,Unable to verify,Perception SaaS,Clinical,ELIMINATED-R1,,
Sightline,SITE-line,insight,6,4,3,5,7,5,3,5,5,2,2,42,not checked,Elevated (media/analytics firms),High,None,ELIMINATED-R2,,
Kenna,KEN-ah,insight,5,5,3,5,7,4,3,4,5,2,2,40,not checked,Elevated (Kenna Security),Person-name,Name-reading,ELIMINATED-R2,,
Presage,PRESS-ij,insight,6,5,4,5,5,5,3,5,4,2,2,41,not checked,Unable to verify,Omen negativity,Negative connotation,ELIMINATED-R1,,
Opsis,OP-siss,insight,5,5,4,4,4,4,3,4,4,2,2,37,not checked,Unable to verify,Medical -opsis,Biopsy adjacency,ELIMINATED-R1,,
Discern,dih-SERN,insight,7,3,2,5,7,6,2,5,5,2,2,41,not checked,Elevated (dictionary verb),Generic,None,ELIMINATED-R1,,
Vidura,vih-DOO-rah,wisdom,5,6,4,5,5,5,3,5,4,2,2,41,not checked,Unable to verify,Low,Mahabharata figure - sensitivity,ELIMINATED-R1,,
Mercanta,mer-KAN-tah,exchange,6,5,4,5,6,6,3,6,6,2,2,45,not checked,Unable to verify,Mercantile generic,Stuffy,ELIMINATED-R1,,
Souqly,SOOK-lee,exchange,5,6,4,5,6,4,3,5,6,2,2,42,not checked,Moderate (Amazon Souq legacy),Souq noise,Regional bound,ELIMINATED-R2,,
Agoria,ah-GOR-ee-ah,exchange,6,5,3,5,6,5,3,6,6,2,2,43,not checked,Elevated (Belgian tech federation),Agora crowd,None,ELIMINATED-R2,,
Tradelight,TRAYD-lite,exchange,5,4,3,4,7,4,3,5,5,2,2,39,not checked,Unable to verify,Generic compound,None,ELIMINATED-R1,,
Vendra,VEN-drah,exchange,5,4,3,5,7,5,3,5,6,2,2,40,not checked,Elevated (Vendr/Vendra SaaS),High,None,ELIMINATED-R2,,
Objet,ob-ZHAY,objects,7,6,3,6,4,8,2,6,5,2,3,45,not checked,Moderate (French generic; Objet/Stratasys history),Art-world generic,EN misreading object,ELIMINATED-R5,,
Keeply,KEEP-lee,objects,5,5,5,6,8,4,4,5,6,3,2,46,not checked,Unable to verify,-ly crowd,Lightweight,ELIMINATED-R1,,
Vaulta,VAWL-tah,objects,6,5,4,6,7,6,3,6,6,2,2,47,not checked,Moderate (fintech vault crowd),Vault crowd,None,ELIMINATED-R2,,
Arcanum,ar-KAH-num,objects,5,6,4,6,6,5,2,5,4,2,2,42,not checked,Elevated (games/books),Occult tone,Occult connotation,ELIMINATED-R1,,
Cachet,ka-SHAY,objects,6,4,3,6,5,7,2,5,5,2,2,42,not checked,Elevated (dictionary word),Generic,FR/EN split,ELIMINATED-R1,,
Patrimon,PAT-rih-mon,estate,6,5,4,4,5,5,3,6,5,2,2,42,not checked,Unable to verify,Patrimony generic,Truncated feel,ELIMINATED-R1,,
Aurea,OW-reh-ah,Latin/gold,6,4,3,5,6,6,2,5,6,2,2,42,not checked,Elevated (jewelry/beauty crowd),High,None,ELIMINATED-R2,,
Merx,MERKS,Latin/goods,5,6,4,4,5,4,3,5,4,2,2,39,not checked,Moderate (Merck homophone),Pharma homophone,Harsh,ELIMINATED-R1,,
Talis,TAH-liss,Latin,5,5,3,5,7,5,3,5,5,2,2,42,not checked,Elevated (Talis education),EdTech conflict,None,ELIMINATED-R2,,
Novara,noh-VAR-ah,invented,5,5,3,6,7,5,3,5,6,2,2,44,not checked,Elevated (Italian city; REI Novara bikes),Geographic,None,ELIMINATED-R2,,
Solvia,SOL-vee-ah,invented,5,5,4,5,6,5,3,5,5,2,2,42,not checked,Moderate (Spanish banking history),Bank legacy,None,ELIMINATED-R2,,
Aprisa,ah-PREE-sah,appraisal,7,6,4,6,7,6,3,6,5,2,2,49,.com registered (2026-07-23),Moderate (4RF Aprisa radios),Telecom conflict,ES aprisa=hurriedly,ELIMINATED-R4,,
Praiso,PRAY-soh,appraisal,6,6,5,6,7,4,3,5,5,2,2,46,.com registered (2026-07-23),Unable to verify,Praise reading,Casual tone,ELIMINATED-R5,,
Estara,es-TAR-ah,invented,5,5,4,5,6,5,3,5,5,2,2,42,not checked,Unable to verify,Pharma tone,None,ELIMINATED-R1,,
Verona,veh-ROH-nah,place-read,5,3,2,6,8,6,2,5,7,1,2,42,not checked,High (city; crowded),Geographic,None,ELIMINATED-R2,,
Hallmark-any,-,trust,,,,,,,,,,,,0,not checked,High (Hallmark Cards),Total,None,REJECTED-ON-SIGHT,Famous-mark collision,
Pedigree,-,provenance,,,,,,,,,,,,0,not checked,High (Mars petcare),Total,None,REJECTED-ON-SIGHT,Famous-mark collision,
Kanon,KAH-non,standard,,,,,,,,,,,,0,not checked,High (Canon homophone),Total,None,REJECTED-ON-SIGHT,Canon confusion,
Zarra,ZAR-rah,Farsi gold,,,,,,,,,,,,0,not checked,High (Zara proximity),Total,FA-beautiful,REJECTED-ON-SIGHT,Inditex Zara proximity,
Zayin,ZAH-yin,Farsi/Hebrew,,,,,,,,,,,,0,not checked,Unable to verify,Low,Hebrew slang risk,REJECTED-ON-SIGHT,Multilingual slang,
Holdings,-,objects,,,,,,,,,,,,0,not checked,High (generic),Total,None,REJECTED-ON-SIGHT,Unbrandable generic,
